,class
JHqcbeKepSg_2946_23,43
JHqcbeKepSg_2946_24,45
JHqcbeKepSg_2946_42,47
JHqcbeKepSg_2946_44,46
JHqcbeKepSg_2946_65,42
JHqcbeKepSg_4573_25,43
JHqcbeKepSg_4573_26,44
JHqcbeKepSg_4573_60,47
JHqcbeKepSg_4573_62,46
JHqcbeKepSg_4573_84,42
JHqcbeKepSg_5864_61,47
JHqcbeKepSg_5864_70,43
JHqcbeKepSg_5864_71,41
JHqcbeKepSg_6566_27,47
JHqcbeKepSg_6566_29,46
JHqcbeKepSg_6566_51,45
JHqcbeKepSg_6566_70,43
JHqcbeKepSg_8115_25,47
JHqcbeKepSg_8115_34,43
JHqcbeKepSg_8115_35,41
JHqcbeKepSg_8639_15,44
JHqcbeKepSg_8639_32,47
JHqcbeKepSg_8639_35,46
JHqcbeKepSg_8639_49,45
JHqcbeKepSg_8639_77,43
JHqcbeKepSg_8830_16,47
JHqcbeKepSg_8830_44,41
JHqcbeKepSg_8830_45,41
JHqcbeKepSg_9504_47,47
JHqcbeKepSg_9504_49,46
JHqcbeKepSg_9504_74,43
JHqcbeKepSg_9504_77,41
Lt0HnPxdzHw_3265_50,46
Lt0HnPxdzHw_3265_59,48
Lt0HnPxdzHw_3265_78,41
Lt0HnPxdzHw_3509_21,47
Lt0HnPxdzHw_3509_68,43
Lt0HnPxdzHw_3691_47,47
Lt0HnPxdzHw_3691_62,41
Lt0HnPxdzHw_3901_48,47
Lt0HnPxdzHw_3901_53,43
Lt0HnPxdzHw_3901_59,41
Lt0HnPxdzHw_4143_62,47
Lt0HnPxdzHw_4143_74,41
Lt0HnPxdzHw_4521_18,47
Lt0HnPxdzHw_4521_22,43
Lt0HnPxdzHw_4712_39,47
Lt0HnPxdzHw_4712_67,41
Lt0HnPxdzHw_4893_66,47
Lt0HnPxdzHw_5075_10,45
Lt0HnPxdzHw_5075_18,47
Lt0HnPxdzHw_5075_29,42
Lt0HnPxdzHw_5075_36,43
Lt0HnPxdzHw_5075_62,43
MDxIRDDWw1w_2906_18,46
MDxIRDDWw1w_2906_28,45
MDxIRDDWw1w_2906_52,48
MDxIRDDWw1w_2906_62,43
MDxIRDDWw1w_2906_73,47
MDxIRDDWw1w_3563_16,47
MDxIRDDWw1w_3563_17,43
MDxIRDDWw1w_3934_15,47
MDxIRDDWw1w_3934_40,45
MDxIRDDWw1w_3934_8,43
MDxIRDDWw1w_3934_9,44
MDxIRDDWw1w_4049_10,43
MDxIRDDWw1w_4049_12,44
MDxIRDDWw1w_957_29,43
MDxIRDDWw1w_957_53,45
P31Ht3H76ok_2011_21,46
P31Ht3H76ok_2011_30,45
P31Ht3H76ok_2011_59,48
P31Ht3H76ok_2011_72,43
P31Ht3H76ok_2011_82,47
P31Ht3H76ok_2269_31,47
P31Ht3H76ok_2269_66,42
P31Ht3H76ok_2490_16,47
P31Ht3H76ok_2490_18,41
P31Ht3H76ok_2736_30,47
P31Ht3H76ok_2736_35,45
P31Ht3H76ok_2736_49,48
P31Ht3H76ok_2736_51,43
P31Ht3H76ok_2736_59,43
P31Ht3H76ok_2956_10,44
P31Ht3H76ok_2956_16,47
P31Ht3H76ok_2956_42,45
P31Ht3H76ok_2956_8,43
P31Ht3H76ok_3204_71,47
P31Ht3H76ok_3437_49,47
P31Ht3H76ok_3437_51,46
P31Ht3H76ok_3683_35,45
P31Ht3H76ok_3683_44,47
P31Ht3H76ok_3683_46,43
PaVNLvldLeI_3332_19,43
PaVNLvldLeI_3332_50,47
PaVNLvldLeI_3332_53,46
PaVNLvldLeI_3332_79,43
PaVNLvldLeI_3555_10,46
PaVNLvldLeI_3555_9,47
PaVNLvldLeI_4060_47,47
PaVNLvldLeI_4275_55,46
PaVNLvldLeI_4275_64,43
PaVNLvldLeI_4275_72,47
PaVNLvldLeI_4275_80,43
PaVNLvldLeI_4518_61,48
PaVNLvldLeI_4518_80,46
PaVNLvldLeI_4518_95,47
PaVNLvldLeI_5142_25,47
PaVNLvldLeI_5142_47,45
PaVNLvldLeI_5142_73,43
TXpgPT5Jdiw_3773_33,43
TXpgPT5Jdiw_3773_57,46
TXpgPT5Jdiw_3773_62,41
TXpgPT5Jdiw_4001_29,43
TXpgPT5Jdiw_4001_76,47
TXpgPT5Jdiw_4224_15,43
TXpgPT5Jdiw_4224_60,48
TXpgPT5Jdiw_4224_62,44
TXpgPT5Jdiw_4459_18,47
TXpgPT5Jdiw_4459_21,46
TXpgPT5Jdiw_4459_38,43
TXpgPT5Jdiw_4666_59,48
TXpgPT5Jdiw_4666_69,47
TXpgPT5Jdiw_4666_71,43
